"C","Long Term 2 FTR Auction Results"
"C","Filename: long_term_2_ftr_auction_results_2024.csv"
"C","Report for: 2024"
"C","Report generated: 10/09/2024 16:20:51 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","LT2 2024","90533","Dynasty Power Inc.","329","UN.ASCUTNEY46  ASCU","NETWORK NODE","4462","LD.WINDSOR 46","NETWORK NODE","BUY","OFFPEAK",7,0
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","329","UN.ASCUTNEY46  ASCU","NETWORK NODE","4462","LD.WINDSOR 46","NETWORK NODE","BUY","OFFPEAK",24,0
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","329","UN.ASCUTNEY46  ASCU","NETWORK NODE","4462","LD.WINDSOR 46","NETWORK NODE","BUY","ONPEAK",7,0
"D","LT2 2024","90533","Dynasty Power Inc.","329","UN.ASCUTNEY46  ASCU","NETWORK NODE","4462","LD.WINDSOR 46","NETWORK NODE","BUY","ONPEAK",7,0
"D","LT2 2024","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","OFFPEAK",1,37.62
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","49024","LD.LUDDN_LN34.5","NETWORK NODE","BUY","OFFPEAK",9.9,3.16
"D","LT2 2024","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",10,48.95
"D","LT2 2024","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","49024","LD.LUDDN_LN34.5","NETWORK NODE","BUY","OFFPEAK",20,3.16
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",0.2,48.95
"D","LT2 2024","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",1,48.95
"D","LT2 2024","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","49024","LD.LUDDN_LN34.5","NETWORK NODE","BUY","ONPEAK",20,4.86
"D","LT2 2024","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","ONPEAK",10,574.65
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","BUY","OFFPEAK",27.9,-4.03
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4436","LD.ASHCREEK13.8","NETWORK NODE","BUY","OFFPEAK",3.4,-0.38
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","BUY","ONPEAK",15.8,36.4
"D","LT2 2024","50851","MAG Energy Solutions_ Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","16738","UN.CONGRESS13.8BPFC","NETWORK NODE","BUY","ONPEAK",19.8,0.35
"D","LT2 2024","51317","Dynegy Marketing and Trade_ LL","355","UN.BRANFORD23  BRAN","NETWORK NODE","4492","LD.CARD    23","NETWORK NODE","BUY","ONPEAK",1,131.98
"D","LT2 2024","51317","Dynegy Marketing and Trade_ LL","355","UN.BRANFORD23  BRAN","NETWORK NODE","46736","LD.WILMATC 4.8 1X3 LD","NETWORK NODE","BUY","ONPEAK",1,131.98
"D","LT2 2024","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","OFFPEAK",8.6,-8.12
