"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202402.csv"
"C","Report for: 02 2024"
"C","Report generated: 10/11/2024 08:53:03 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","FEB 2024 FEB","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","337","UN.WHITEFLD34.5BETH","NETWORK NODE","SELL","OFFPEAK",0.5,-99.5
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",2.3,-0.15
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",8.3,-0.15
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",8,0.28
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","OFFPEAK",16.7,0.7
"D","FEB 2024 FEB","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","432","UN.HARRIS  13.2HAR1","NETWORK NODE","BUY","ONPEAK",2,-709.48
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","ONPEAK",25.5,6.38
"D","FEB 2024 FEB","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","SELL","OFFPEAK",0.2,-106.22
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",1,0.56
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","OFFPEAK",1,0.34
"D","FEB 2024 FEB","126652","Transgrid Midwest LLC","346","UN.MIDDLESX34.5BOLT","NETWORK NODE","397","UN.DEVON   13.2DV11","NETWORK NODE","SELL","OFFPEAK",0.5,-10.86
"D","FEB 2024 FEB","126652","Transgrid Midwest LLC","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","SELL","OFFPEAK",20,-1.21
"D","FEB 2024 FEB","126652","Transgrid Midwest LLC","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","12530","UN.SHEFIELD34.5SHEF","NETWORK NODE","SELL","ONPEAK",0.3,-311.45
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","OFFPEAK",8.6,-1.83
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",8.5,-4.28
"D","FEB 2024 FEB","51317","Dynegy Marketing and Trade_ LL","356","UN.FORESTVL13.8BRF","NETWORK NODE","4591","LD.W_BROKFD13.8","NETWORK NODE","SELL","ONPEAK",2,1.93
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","OFFPEAK",9.1,0.66
"D","FEB 2024 FEB","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4247","LD.WINGLANE13.2","NETWORK NODE","BUY","OFFPEAK",1.5,0.74
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16250","LD.WELFLEET23","NETWORK NODE","BUY","OFFPEAK",1.8,-24.25
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16249","LD.HYANIS_J24.0","NETWORK NODE","BUY","OFFPEAK",1.8,-24.25
"D","FEB 2024 FEB","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,0.88
"D","FEB 2024 FEB","132849","Curio Analytics Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4182","LD.PLSNT_HL34.5","NETWORK NODE","BUY","ONPEAK",3,-0.32
"D","FEB 2024 FEB","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4247","LD.WINGLANE13.2","NETWORK NODE","BUY","ONPEAK",1.5,1.49
"D","FEB 2024 FEB","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",32,1.43
"D","FEB 2024 FEB","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",1,1.43
"D","FEB 2024 FEB","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4505","LD.PLEASANT23","NETWORK NODE","BUY","OFFPEAK",5.6,-2.23
"D","FEB 2024 FEB","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",1,1.4
"D","FEB 2024 FEB","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",32,1.4
"D","FEB 2024 FEB","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",16,1.43
