"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202410.csv"
"C","Report for: 10 2024"
"C","Report generated: 10/06/2024 19:44:32 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","405","UN.ELLSWRTH34.5ELLS","NETWORK NODE","SELL","OFFPEAK",0.5,-343.6
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","SELL","OFFPEAK",0.5,-261.9
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","389","UN.INDIAN  13.8DERB","NETWORK NODE","SELL","ONPEAK",0.7,-24.06
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","330","UN.PEMIGWAS34.5AYER","NETWORK NODE","4447","LD.IRASBURG46","NETWORK NODE","SELL","OFFPEAK",0.7,-58.4
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","460","UN.WINSLOW 34.5LCKW","NETWORK NODE","BUY","OFFPEAK",10,41.62
"D","OCT 2024 OCT","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4302","LD.ADMIRAL 23  ","NETWORK NODE","BUY","ONPEAK",1.5,621.9
"D","OCT 2024 OCT","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4004",".Z.CONNECTICUT","LOAD ZONE","BUY","ONPEAK",2,183.42
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",8.5,-2.4
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16249","LD.HYANIS_J24.0","NETWORK NODE","BUY","OFFPEAK",0.6,-32.85
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","OFFPEAK",9.1,0.29
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16250","LD.WELFLEET23","NETWORK NODE","BUY","OFFPEAK",0.6,-32.85
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,4.08
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",32,0.61
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",1,0.61
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",32,0.43
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",1,0.43
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","OFFPEAK",8.5,-0.75
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",2,0.61
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","OFFPEAK",9.2,-0.23
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",16,0.61
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","OFFPEAK",8.5,-0.75
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",16,0.43
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",2,0.43
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","ONPEAK",8.9,0.66
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","ONPEAK",8.4,0.66
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","ONPEAK",7.8,0.22
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","16251","LD.HARWICH 23","NETWORK NODE","BUY","ONPEAK",2,-23.68
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","16250","LD.WELFLEET23","NETWORK NODE","BUY","ONPEAK",2,-23.68
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","16249","LD.HYANIS_J24.0","NETWORK NODE","BUY","ONPEAK",2,-23.68
"D","OCT 2024 OCT","132849","Curio Analytics Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4129","LD.NEWCASTL34.5","NETWORK NODE","BUY","ONPEAK",3,-33.04
"D","OCT 2024 OCT","50851","MAG Energy Solutions_ Inc.","370","UN.COSCOB  13.8CC10","NETWORK NODE","4435","LD.PEQUONCK13.8","NETWORK NODE","BUY","OFFPEAK",5.6,0.38
"D","OCT 2024 OCT","126652","Transgrid Midwest LLC","388","UN.DARTMTH 13.8DART","NETWORK NODE","393","UN.DEERFLD569  DFL5","NETWORK NODE","SELL","ONPEAK",0.7,-71.13
"D","OCT 2024 OCT","132849","Curio Analytics Inc.","389","UN.INDIAN  13.8DERB","NETWORK NODE","4000",".H.INTERNAL_HUB","HUB","BUY","ONPEAK",2,39.57
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","396","UN.DEVON   13.8DV10","NETWORK NODE","4431","LD.WOODMONT13.8","NETWORK NODE","BUY","OFFPEAK",4,0.22
"D","OCT 2024 OCT","50086","NextEra Energy Marketing","396","UN.DEVON   13.8DV10","NETWORK NODE","4431","LD.WOODMONT13.8","NETWORK NODE","BUY","OFFPEAK",1,0.22
"D","OCT 2024 OCT","90533","Dynasty Power Inc.","396","UN.DEVON   13.8DV10","NETWORK NODE","4443","LD.BARNUM  13.8","NETWORK NODE","BUY","OFFPEAK",9,0.01
